scene_interactiveobj,assigned_count
hospital_plasticbox,9
hospital_suitcase,6
hospital_trashcan,3
hospital_tripod,12
office_clothesstand,6
office_instancedbp_door_250cm4,3
office_largebox,21
office_largetable,12
office_monitor,24
office_plasticbox,12
office_sm_briefcase3,3
office_sm_chair,3
office_sm_plant12,3
office_smalltable,3
office_suitcase,12
office_trashcan,3
office_woodchair,12
warehouse_largebox,9
warehouse_plasticbox,15
warehouse_smallbox,3
warehouse_smallklt_visual,3
warehouse_trashcan,3
warehouse_tripod,12
warehouse_woodchair,3
