participant_id,scene_1_no,scene_1_event_id,scene_1_task,scene_1_environment,scene_1_object_label,scene_1_object_category,scene_1_dir,scene_1_url_anchor,scene_2_no,scene_2_event_id,scene_2_task,scene_2_environment,scene_2_object_label,scene_2_object_category,scene_2_dir,scene_2_url_anchor,scene_3_no,scene_3_event_id,scene_3_task,scene_3_environment,scene_3_object_label,scene_3_object_category,scene_3_dir,scene_3_url_anchor,scene_4_no,scene_4_event_id,scene_4_task,scene_4_environment,scene_4_object_label,scene_4_object_category,scene_4_dir,scene_4_url_anchor,scene_5_no,scene_5_event_id,scene_5_task,scene_5_environment,scene_5_object_label,scene_5_object_category,scene_5_dir,scene_5_url_anchor
P001,12,0079,avoid,warehouse,tripod_0001,tripod,warehouse_1_0079_avoid_tripod_0001_proposal_human_node_O_14_crop_frame_000409_stamp_136200002029_carrying,#scene-012-0079-warehouse-avoid,29,0016,warn,office,monitor_0004,monitor,office_1_0016_warn_monitor_0004_proposal_human_node_O_66_crop_frame_000354_stamp_587850008759_dropping,#scene-029-0016-office-warn,56,0004,monitor,hospital,trashcan_0001,trashcan,hospital_1_0004_monitor_trashcan_0001_proposal_human_node_O_29_crop_frame_000149_stamp_229400003418_kicking,#scene-056-0004-hospital-monitor,,,,,,,,,,,,,,,,
P002,16,0088,continue,warehouse,smallbox_0001,smallbox,warehouse_1_0088_continue_smallbox_0001_proposal_human_node_O_138_crop_frame_000458_stamp_148700002215_carrying,#scene-016-0088-warehouse-continue,22,0008,warn,office,sm_chair_407,sm_chair,office_1_0008_warn_sm_chair_407_proposal_human_node_O_28_crop_frame_000053_stamp_372650005552_putting_down,#scene-022-0008-office-warn,63,0036,assist,hospital,suitcase_0001,suitcase,hospital_1_0036_assist_suitcase_0001_proposal_human_node_O_97_crop_frame_000336_stamp_79050001177_lifting,#scene-063-0036-hospital-assist,,,,,,,,,,,,,,,,
P003,8,0024,warn,warehouse,largebox_0002,largebox,warehouse_1_0024_warn_largebox_0002_proposal_human_node_O_58_crop_frame_000163_stamp_85250001270_throwing,#scene-008-0024-warehouse-warn,26,0012,assist,office,monitor_0004,monitor,office_1_0012_assist_monitor_0004_proposal_human_node_O_66_crop_frame_000346_stamp_586300008736_carrying,#scene-026-0012-office-assist,62,0034,monitor,hospital,plasticbox_0001,plasticbox,hospital_1_0034_monitor_plasticbox_0001_proposal_human_node_O_132_crop_frame_000375_stamp_180450002688_kicking,#scene-062-0034-hospital-monitor,,,,,,,,,,,,,,,,
P004,5,0014,warn,warehouse,tripod_0001,tripod,warehouse_1_0014_warn_tripod_0001_proposal_human_node_O_14_crop_frame_000084_stamp_68550001021_dropping,#scene-005-0014-warehouse-warn,52,0051,assist,office,sm_briefcase3,sm_briefcase3,office_1_0051_assist_sm_briefcase3_proposal_human_node_O_178_crop_frame_000278_stamp_339500005058_carrying,#scene-052-0051-office-assist,64,0037,monitor,hospital,suitcase_0001,suitcase,hospital_1_0037_monitor_suitcase_0001_proposal_human_node_O_97_crop_frame_000341_stamp_79950001191_kicking,#scene-064-0037-hospital-monitor,,,,,,,,,,,,,,,,
P005,9,0036,avoid,warehouse,largebox_0002,largebox,warehouse_1_0036_avoid_largebox_0002_proposal_human_node_O_58_crop_frame_000183_stamp_88550001319_carrying,#scene-009-0036-warehouse-avoid,22,0008,warn,office,sm_chair_407,sm_chair,office_1_0008_warn_sm_chair_407_proposal_human_node_O_28_crop_frame_000053_stamp_372650005552_putting_down,#scene-022-0008-office-warn,64,0037,monitor,hospital,suitcase_0001,suitcase,hospital_1_0037_monitor_suitcase_0001_proposal_human_node_O_97_crop_frame_000341_stamp_79950001191_kicking,#scene-064-0037-hospital-monitor,,,,,,,,,,,,,,,,
P006,8,0024,warn,warehouse,largebox_0002,largebox,warehouse_1_0024_warn_largebox_0002_proposal_human_node_O_58_crop_frame_000163_stamp_85250001270_throwing,#scene-008-0024-warehouse-warn,24,0011,assist,office,suitcase_0001,suitcase,office_1_0011_assist_suitcase_0001_proposal_human_node_O_21_crop_frame_000041_stamp_293400004372_carrying,#scene-024-0011-office-assist,57,0021,monitor,hospital,tripod_0001,tripod,hospital_1_0021_monitor_tripod_0001_proposal_human_node_O_82_crop_frame_000242_stamp_62150000926_lifting,#scene-057-0021-hospital-monitor,,,,,,,,,,,,,,,,
P007,11,0047,avoid,warehouse,plasticbox_0001,plasticbox,warehouse_1_0047_avoid_plasticbox_0001_proposal_human_node_O_16_crop_frame_000248_stamp_100050001490_lifting,#scene-011-0047-warehouse-avoid,48,0040,assist,office,monitor_0002,monitor,office_1_0040_assist_monitor_0002_proposal_human_node_O_63_crop_frame_000207_stamp_325000004842_carrying,#scene-048-0040-office-assist,58,0023,warn,hospital,tripod_0001,tripod,hospital_1_0023_warn_tripod_0001_proposal_human_node_O_82_crop_frame_000254_stamp_64250000957_dropping,#scene-058-0023-hospital-warn,,,,,,,,,,,,,,,,
P008,10,0042,assist,warehouse,largebox_0002,largebox,warehouse_1_0042_assist_largebox_0002_proposal_human_node_O_58_crop_frame_000205_stamp_92200001373_holding,#scene-010-0042-warehouse-assist,29,0016,warn,office,monitor_0004,monitor,office_1_0016_warn_monitor_0004_proposal_human_node_O_66_crop_frame_000354_stamp_587850008759_dropping,#scene-029-0016-office-warn,57,0021,monitor,hospital,tripod_0001,tripod,hospital_1_0021_monitor_tripod_0001_proposal_human_node_O_82_crop_frame_000242_stamp_62150000926_lifting,#scene-057-0021-hospital-monitor,,,,,,,,,,,,,,,,
P009,5,0014,warn,warehouse,tripod_0001,tripod,warehouse_1_0014_warn_tripod_0001_proposal_human_node_O_14_crop_frame_000084_stamp_68550001021_dropping,#scene-005-0014-warehouse-warn,30,0017,avoid,office,monitor_0001,monitor,office_1_0017_avoid_monitor_0001_proposal_human_node_O_29_crop_frame_000112_stamp_223150003325_carrying,#scene-030-0017-office-avoid,63,0036,assist,hospital,suitcase_0001,suitcase,hospital_1_0036_assist_suitcase_0001_proposal_human_node_O_97_crop_frame_000336_stamp_79050001177_lifting,#scene-063-0036-hospital-assist,,,,,,,,,,,,,,,,
P010,4,0012,monitor,warehouse,tripod_0001,tripod,warehouse_1_0012_monitor_tripod_0001_proposal_human_node_O_14_crop_frame_000068_stamp_65900000981_carrying,#scene-004-0012-warehouse-monitor,35,0023,avoid,office,plasticbox_0001,plasticbox,office_1_0023_avoid_plasticbox_0001_proposal_human_node_O_83_crop_frame_000105_stamp_383600005716_kicking,#scene-035-0023-office-avoid,63,0036,assist,hospital,suitcase_0001,suitcase,hospital_1_0036_assist_suitcase_0001_proposal_human_node_O_97_crop_frame_000336_stamp_79050001177_lifting,#scene-063-0036-hospital-assist,,,,,,,,,,,,,,,,
