scene_interactiveobj,assigned_count,unique_scenes
hospital_plasticbox_0001,18,3
hospital_suitcase_0001,12,2
hospital_trashcan_0001,6,1
hospital_tripod_0001,24,4
office_clothesstand_0001,12,2
office_instancedbp_door_250cm4,6,1
office_largebox_0001,24,4
office_largebox_0002,18,3
office_largetable_0001,12,2
office_largetable_0002,12,2
office_monitor_0001,12,2
office_monitor_0002,12,2
office_monitor_0004,18,3
office_monitor_0005,6,1
office_plasticbox_0001,24,4
office_sm_briefcase3,6,1
office_sm_chair_407,6,1
office_sm_plant12,6,1
office_smalltable_0001,6,1
office_suitcase_0001,24,4
office_trashcan_0001,6,1
office_woodchair_0001,24,4
warehouse_largebox_0002,18,3
warehouse_plasticbox_0001,30,5
warehouse_smallbox_0001,6,1
warehouse_smallklt_visual_169,6,1
warehouse_trashcan_0001,6,1
warehouse_tripod_0001,24,4
warehouse_woodchair_0001,6,1
