scene_no,event_id,task,environment,object_label,scene_interactiveobj,scene_dir,assigned_count
1,0004,monitor,hospital,trashcan_0001,hospital_trashcan_0001,hospital_1_0004_monitor_trashcan_0001_proposal_human_node_O_29_crop_frame_000149_stamp_229400003418_kicking,6
2,0021,monitor,hospital,tripod_0001,hospital_tripod_0001,hospital_1_0021_monitor_tripod_0001_proposal_human_node_O_82_crop_frame_000242_stamp_62150000926_lifting,6
3,0023,warn,hospital,tripod_0001,hospital_tripod_0001,hospital_1_0023_warn_tripod_0001_proposal_human_node_O_82_crop_frame_000254_stamp_64250000957_dropping,6
4,0027,warn,hospital,plasticbox_0001,hospital_plasticbox_0001,hospital_1_0027_warn_plasticbox_0001_proposal_human_node_O_132_crop_frame_000329_stamp_171750002559_kicking,6
5,0031,avoid,hospital,tripod_0001,hospital_tripod_0001,hospital_1_0031_avoid_tripod_0001_proposal_human_node_O_82_crop_frame_000299_stamp_72450001079_holding,6
6,0033,avoid,hospital,plasticbox_0001,hospital_plasticbox_0001,hospital_1_0033_avoid_plasticbox_0001_proposal_human_node_O_132_crop_frame_000370_stamp_179700002677_kicking,6
7,0034,monitor,hospital,plasticbox_0001,hospital_plasticbox_0001,hospital_1_0034_monitor_plasticbox_0001_proposal_human_node_O_132_crop_frame_000375_stamp_180450002688_kicking,6
8,0036,assist,hospital,suitcase_0001,hospital_suitcase_0001,hospital_1_0036_assist_suitcase_0001_proposal_human_node_O_97_crop_frame_000336_stamp_79050001177_lifting,6
9,0037,monitor,hospital,suitcase_0001,hospital_suitcase_0001,hospital_1_0037_monitor_suitcase_0001_proposal_human_node_O_97_crop_frame_000341_stamp_79950001191_kicking,6
10,0041,continue,hospital,tripod_0001,hospital_tripod_0001,hospital_1_0041_continue_tripod_0001_proposal_human_node_O_82_crop_frame_000387_stamp_87900001309_putting_down,6
11,0001,assist,office,largetable_0001,office_largetable_0001,office_1_0001_assist_largetable_0001_proposal_human_node_O_19_crop_frame_000047_stamp_211000003144_lifting,6
12,0001,continue,office,largebox_0001,office_largebox_0001,office_1_0001_continue_largebox_0001_proposal_human_node_O_0_crop_frame_000001_stamp_285200004249_standing,6
13,0005,avoid,office,largetable_0001,office_largetable_0001,office_1_0005_avoid_largetable_0001_proposal_human_node_O_19_crop_frame_000057_stamp_212700003169_lifting,6
14,0007,continue,office,trashcan_0001,office_trashcan_0001,office_1_0007_continue_trashcan_0001_proposal_human_node_O_14_crop_frame_000026_stamp_444450006622_standing,6
15,0007,warn,office,monitor_0002,office_monitor_0002,office_1_0007_warn_monitor_0002_proposal_human_node_O_28_crop_frame_000051_stamp_372350005548_dropping,6
16,0008,warn,office,sm_chair_407,office_sm_chair_407,office_1_0008_warn_sm_chair_407_proposal_human_node_O_28_crop_frame_000053_stamp_372650005552_putting_down,6
17,0010,continue,office,suitcase_0001,office_suitcase_0001,office_1_0010_continue_suitcase_0001_proposal_human_node_O_21_crop_frame_000033_stamp_292000004351_carrying,6
18,0011,assist,office,suitcase_0001,office_suitcase_0001,office_1_0011_assist_suitcase_0001_proposal_human_node_O_21_crop_frame_000041_stamp_293400004372_carrying,6
19,0011,continue,office,plasticbox_0001,office_plasticbox_0001,office_1_0011_continue_plasticbox_0001_proposal_human_node_O_83_crop_frame_000081_stamp_378600005641_walking,6
20,0012,assist,office,monitor_0004,office_monitor_0004,office_1_0012_assist_monitor_0004_proposal_human_node_O_66_crop_frame_000346_stamp_586300008736_carrying,6
21,0012,monitor,office,suitcase_0001,office_suitcase_0001,office_1_0012_monitor_suitcase_0001_proposal_human_node_O_21_crop_frame_000067_stamp_299050004456_kicking,6
22,0015,avoid,office,monitor_0004,office_monitor_0004,office_1_0015_avoid_monitor_0004_proposal_human_node_O_66_crop_frame_000354_stamp_587750008758_lifting,6
23,0016,warn,office,monitor_0004,office_monitor_0004,office_1_0016_warn_monitor_0004_proposal_human_node_O_66_crop_frame_000354_stamp_587850008759_dropping,6
24,0017,avoid,office,monitor_0001,office_monitor_0001,office_1_0017_avoid_monitor_0001_proposal_human_node_O_29_crop_frame_000112_stamp_223150003325_carrying,6
25,0018,monitor,office,plasticbox_0001,office_plasticbox_0001,office_1_0018_monitor_plasticbox_0001_proposal_human_node_O_83_crop_frame_000097_stamp_381500005684_kicking,6
26,0019,warn,office,monitor_0001,office_monitor_0001,office_1_0019_warn_monitor_0001_proposal_human_node_O_29_crop_frame_000120_stamp_224500003345_kicking,6
27,0020,monitor,office,largebox_0001,office_largebox_0001,office_1_0020_monitor_largebox_0001_proposal_human_node_O_7_crop_frame_000126_stamp_225600003361_kicking,6
28,0022,monitor,office,largebox_0002,office_largebox_0002,office_1_0022_monitor_largebox_0002_proposal_human_node_O_43_crop_frame_000133_stamp_226850003380_kicking,6
